evidence_id,source_id,property_id,context_type,participant_ids,composition_stage,composition_completeness,series_id,series_coordinate,measurand_entity_id,result_basis,raw_value_text,value_original,unit_original,value_canonical,unit_canonical,conversion_rule,conversion_version,uncertainty_status,method_run_id,origin_kind,ingestion_route,exact_locator,extraction_mode,source_verification_status,redistribution_status,data_level,review_status,reviewer,flags,notes
B01-E11,B01-S05,bet_surface_area,nanomaterial_lot,MWCNT_Taunit-MD,as_received,partial,,,MWCNT_powder,BET_as_reported_inequality,The specific surface area was higher than 270 m2,>270,m2 (denominator not restated in that clause),,,not_converted;unit_incomplete_in_clause,,inequality,BET_unspecified,,,"Energies 2023, 16, 6875 HTML Materials; doi 10.3390/en16196875",,,allowed,,,,unit_denominator_ambiguous_in_sentence,"FACT inequality. Same paragraph gives inner diameter 5-15 nm, outer 8-30 nm, length >5 um, 30-40 walls. Nearby SWCNT BET uses m2/g; MWCNT clause writes m2. UNKNOWN whether missing /g."
B01-E12,B01-S05,dispersion_stability_index,dispersion,invert_emulsion_Oil-2_SWCNT,before_thermal_aging,partial,TSI_vs_time,storage_after_prep;T_ambient_implied,emulsion,0.1_wt_percent_SWCNT,the addition of 0.1 wt.% of SWCNTs reduces the TSI by 3.1 times,3.1,fold_decrease_in_TSI,,,not_converted;TSI_protocol_specific,,not_reported,Turbiscan_TSI,,,"Energies 2023, 16, 6875 HTML text accompanying Figures 6-7; doi 10.3390/en16196875",,,allowed,,,,not_MWCNT;H8_comparator;not_DLS,FACT TSI fold-change for SWCNT 0.1 wt.%. TSI is method-specific; not model-ready as generic stability. HC/W 65/35. CaCl2 brine density 1.1 g/cm3 in aqueous phase.
B01-E13,B01-S05,dispersion_stability_index,dispersion,invert_emulsion_Oil-2_SWCNT,after_thermal_aging,partial,,8 h thermal aging at 150 C then TSI,emulsion,0.1_wt_percent_SWCNT,the addition of 0.1 wt.% of SWCNTs reduces the TSI by almost six times compared to that of the base solution,almost six,fold_decrease_in_TSI,,,not_converted;qualitative_almost,,approximate_wording,Turbiscan_TSI_after_OFITE_roller_oven,,,"Energies 2023, 16, 6875 HTML after Fig. 6b/7b; doi 10.3390/en16196875",,,allowed,,,,approximate;aging_not_surface_age,FACT approximate fold-change after 8 h aging at 150 C. MWCNT TSI curves are Figure 5; exact MWCNT fold-changes not copied from graph (digitization_required).
B01-E14,B01-S11,other_shale_linear_swelling_percent,porous_media_flow,shale_plug;KCl_WBM_MWCNT,as_tested,incomplete,,linear_swell_20_hours,shale_plug,0.1_ppb_MWCNT,0.1 ppb of each MWCNT and nanosilica showed 32% and 33% change in shale volume,32,%_volume_change,,,not_converted,,not_reported,linear_swell_meter_20_h,,,OpenAlex abstract of 10.1016/j.ejpe.2016.05.004,,,restricted,,,,ppb_basis_unconfirmed;not_a_vocabulary_property_id;shale_swelling_not_filtration,FACT 32% shale volume change with 0.1 ppb MWCNT. Same abstract: GNP 0.1 ppb gave 10%; basic KCl mud 30%. Negative comparator for MWCNT vs GNP on inhibition.
B01-E15,B01-S12,gel_strength,bulk_fluid,Saraline_SBM_MWCNT,after_aging,incomplete,,aging_16_h_at_250_F;gel_10_sec,drilling_fluid,MWCNT_concentration_unknown,addition of MWCNT improved the 10-sec gel strength by 33%,33,%,,,not_converted;relative_change,,not_reported,aging_16h_250F_then_gel,,,OpenAlex abstract of 10.11113/mjfas.v12n3.423,,,unknown,,,,dose_unknown;10s_gel_not_fitted_yield_stress,FACT relative 10-sec gel after 250 F aging in Saraline. Absolute gel UNKNOWN. Distinct from Herschel-Bulkley yield stress.
B01-E16,B01-S12,hpht_filtrate_volume,filtration_test,Sarapar_SBM_MWCNT,after_aging,incomplete,,aging_16_h_at_250_F,filtrate,MWCNT_concentration_unknown,Filtrate loss volume of Sarapar drilling fluid was reduced by 19 % after aging at 250 °F for 16 hours,19,%,,,not_converted;relative_change,,not_reported,filtration_after_16h_250F_aging,,,OpenAlex abstract of 10.11113/mjfas.v12n3.423,,,unknown,,,,dose_unknown;API_vs_HPHT_unknown,FACT relative filtrate reduction for Sarapar+MWCNT vs implied base after aging.
B01-E17,B01-S14,other_simulated_bottomhole_torque,lubricity_test,freshwater_bentonite_mud_MWCNT,software_simulation,incomplete,,,BHA_torque_simulated,five_Nano_concentrations_unspecified_here,In fresh water bentonite mud torque reduction was from 4000 ft-lb to 3500 ft-lb,4000 to 3500,ft-lb,,,not_converted;simulated_not_measured_CoF,,not_reported,torque_and_drag_software,,,OpenAlex abstract of 10.31699/ijcpe.2019.3.6,,,restricted,,,,simulation;not_lubricity_tester;not_vocabulary_ready,"FACT as stated. This is modelled BHA torque, not a measured lubricity coefficient."
B01-E18,B01-S14,other_simulated_bottomhole_torque,lubricity_test,polymer_mud_MWCNT,software_simulation,incomplete,,,BHA_torque_simulated,five_Nano_concentrations_unspecified_here,"in polymer mud torque failed and did not reduce, so it raised from 2050.88 ft-lb to be around 2200 ft-lb",2050.88 to around 2200,ft-lb,,,not_converted,,around_on_final_value,torque_and_drag_software,,,OpenAlex abstract of 10.31699/ijcpe.2019.3.6,,,restricted,,,,negative_result;simulation,FACT negative in polymer mud. H7 implication: base-fluid chemistry can reverse apparent lubricity benefit.
B01-E19,B01-S19,hpht_filtrate_volume,filtration_test,OBM_MWCNT,as_tested,incomplete,,,filtrate,0.5_ppb_MWCNT,low concentrations (0.5 ppb) of the MWCNT led to high filter loss volumes (15 ml),15,ml,,,not_converted;T_P_unknown,,not_reported,filter_loss_OBM_unspecified_standard,,,Springer abstract of 10.1007/s13202-019-0740-8,,,unknown,,,,ppb_basis_unconfirmed;nonmonotonic_dose,FACT 15 ml at 0.5 ppb in OBM. Same abstract: 2.5 ppb reduced to 7 ml (52% from initial).
B01-E20,B01-S19,hpht_filtrate_volume,filtration_test,OBM_MWCNT,as_tested,incomplete,,,filtrate,2.5_ppb_MWCNT,increase up to 2.5 ppb reduced the margin of the filter loss volume by 52% (7 ml) from the initial value,7,ml,,,not_converted,,not_reported,filter_loss_OBM_unspecified_standard,,,Springer abstract of 10.1007/s13202-019-0740-8,,,unknown,,,,ppb_basis_unconfirmed;nonmonotonic_vs_0.5ppb,FACT 7 ml at 2.5 ppb OBM. Supports non-monotonic filtration vs mass dose. WBM optimum 2 ppb stated in same abstract without a volume here.
B01-E21,B01-S10,lubricity_coefficient,lubricity_test,WBM_MWCNT_and_or_GNP,as_tested,incomplete,,,drilling_fluid,mixed_0.01_ppb_MWCNT_and_0.02_ppb_GNP,addition of MWCNT at 0.01 ppb and 0.02 ppb of GNP gave torque lubricity reduction between 38 to 59%,38 to 59,%,,,not_converted;mixed_additives,,range,torque_lubricity_unspecified,,,IOP abstract 10.1088/1757-899X/380/1/012021,,,allowed,,,,cannot_attribute_to_MWCNT_alone;ppb_basis_unconfirmed,FACT range for a combined additive statement. Not a pure MWCNT effect.
B01-E22,B01-S16,hpht_filtrate_volume,filtration_test,WBM_SiO2_vs_MWCNT,as_tested,incomplete,,,filtrate_and_cake,SiO2_1_wt_percent_vs_MWCNT_unspecified,low-concentration SiO2-nanomud (at 1wt%) is observed to be a better candidate than MW-CNT-nanomud to control fluid loss and to maintain wellbore stability,,,,,none,,qualitative,filtration_with_optional_ultrasonication,,,Crossref abstract of 10.2118/225227-ms,,,restricted,,,,negative_or_contrast_for_MWCNT;MWCNT_dose_unspecified,FACT qualitative ranking from SPE abstract. Ultrasonication independently reduced fluid loss vs unsonicated sample.
B01-E23,B01-S18,apparent_viscosity,bulk_fluid,diesel_invert_SWCNT,as_tested,partial,,T=25 C; P=1 atm; Ofite 900,drilling_fluid,0.025_wt_percent_SWCNT,adding just 0.025 wt.% of single-walled nanotubes increases the effective viscosity by approximately 45 %,approximately 45,%,,,not_converted;relative;SWCNT_not_MWCNT,,approximate,Ofite_900_25C_1atm,,,Journal of Mining Institute HTML literature-review paragraph citing 10.1016/j.colsurfa.2023.132434; pmi.spmi.ru/pmi/article/view/16437,,,unknown,,,,SECONDARY_CITATION;not_primary_measurement_in_this_paper;do_not_treat_as_B01-S03_fact_until_S03_fulltext,This number is reported by B01-S18 as a description of B01-S03. Extraction status: secondary. Human must confirm in S03 tables.
B01-E24,B01-S20,plastic_viscosity,bulk_fluid,Na_bentonite_WBDM_CuONPs_MWCNTs,as_tested,incomplete,,,drilling_fluid,0.001_to_0.01_percent_w_v_hybrid,plastic viscosity (PV) ... increased by 57%,57,%,,,not_converted;hybrid_additive,,not_reported,API_rheology,,,OpenAlex abstract of 10.1149/2162-8777/abbb9f,,,unknown,,,,hybrid_CuO_MWCNT;cannot_attribute_to_MWCNT_mass,FACT relative PV increase for hybrid. Same abstract: filtration loss decreased 13.8%. Confounder for H7 mass-only tests.
