source_id,title,year,authors,doi,url,container,source_type,access_status,license,redistribution_status,doi_verified,fulltext_level,screening_decision,reason_code,query_stream,related_hypotheses,notes
B01-S14,Certain Assessment of Using MWCNT Nps in Drilling Fluid to Mitigate Stick-Slip Problem during Drilling Operation System,2019,"Alssafar, Saifalden Y.; Al-Mahdawi, Faleh H. M.",10.31699/ijcpe.2019.3.6,https://doi.org/10.31699/ijcpe.2019.3.6,Iraqi Journal of Chemical and Petroleum Engineering,journal-article,open_access,cc-by-nc,restricted,yes_crossref,abstract,include,,Q4,H7,Negative result in polymer mud: simulated torque increased. Bentonite mud torque decreased. Software-simulated BHA torque is not a lubricity-tester coefficient.
B01-S15,Effect of Nanoparticles on Rheological Properties of Water-Based Drilling Fluid,2023,"Lin, Yuan; Tian, Qizhong; Lin, Peiwen; Tan, Xinghui; Qin, Huaitao; Chen, Jiawang",10.3390/nano13142092,https://doi.org/10.3390/nano13142092,Nanomaterials,journal-article,open_access,cc-by,allowed,yes_crossref,abstract,include,,Q4,H7,MWCNT 0.05 w/v% most obvious among tested; CuO also present. Digitisation of YP/PV vs T required.
B01-S16,Novel Techniques to Control Fluid Loss by Optimizing Filter Cake Properties During Drilling Operations,2025,"Abraham, J. J.; Kanjirakat, A.; Carvero, A.; Teodoriu, C.; Amani, M.; AlMujalhem, M.",10.2118/225227-ms,https://doi.org/10.2118/225227-ms,SPE Conference at Oman Petroleum & Energy Show,proceedings-article,metadata_open; crossref_abstract,unknown_spe,restricted,yes_crossref,abstract,include,,Q4,H7,Contrast: 1 wt% SiO2 nanomud better candidate than MW-CNT-nanomud for fluid loss and cake. Ultrasonication independently reduced fluid loss.
B01-S17,Multiwalled Carbon Nanotubes at the Interface of Pickering Emulsions,2015,"Briggs, Nicholas M.; Weston, Javen S.; Li, Brian; Venkataramani, Deepika; Aichele, Clint P.; Harwell, Jeffrey H.; Crossley, Steven P.",10.1021/acs.langmuir.5b03189,https://doi.org/10.1021/acs.langmuir.5b03189,Langmuir,journal-article,metadata_open; openalex_abstract,unknown_acs,restricted,yes_crossref,abstract,include,,seed;Q5,H6;H7,Paraffin wax/water and dodecane/water. Interfacial thickness correlated with emulsion stability. Not a drilling-fluid paper. digitization_required for thickness values.
B01-S18,Comparative analysis of the influence of various nano-additives on the characteristics of diesel fuel-based drilling fluids,2025,"Lysakova, Evgeniya I.; Minakov, Andrey V.; Skorobogatova, Angelika D.; Pryazhnikov, Maxim I.",,https://pmi.spmi.ru/pmi/article/view/16437,Journal of Mining Institute vol. 276 iss. 1 p. 30-40,journal-article,open_access_html,unknown_verify_journal,unknown,no_doi_found; publisher_landing_verified,oa_html_partial_read,include,,discovery_from_B01-S03,H7;H8,No Crossref DOI located in this run. Diesel invert 65% HC. LTLP filtration 25 C 7 atm 30 min Ofite. Cake friction coefficient (not metal-metal lubricity tester).
B01-S19,Determining the optimum concentration of multiwalled carbon nanotubes as filtrate loss additive in field-applicable mud systems,2019,"Okoro, Emeka E.; Zuokumor, Anita A.; Okafor, Ikechukwu S.; Igwilo, Kevin C.; Orodu, Kale B.",10.1007/s13202-019-0740-8,https://doi.org/10.1007/s13202-019-0740-8,Journal of Petroleum Exploration and Production Technology,journal-article,open_access_springer_landing,unknown_verify_oa,unknown,yes_crossref,abstract,include,,competitor_followup,H7,Non-monotonic OBM filter loss vs dose: 0.5 ppb 15 ml vs 2.5 ppb 7 ml. WBM optimum 2 ppb stated. ppb not converted.
B01-S20,Novel Research on CuONPs/MWCNTs Effect on the Properties of Na-Bentonite Water Based Drilling Muds with Experimental Study,2020,"Ozkan, Abdullah; Ozkan, Vildan",10.1149/2162-8777/abbb9f,https://doi.org/10.1149/2162-8777/abbb9f,ECS Journal of Solid State Science and Technology,journal-article,open_access_claimed,unknown,unknown,yes_crossref,abstract,include,,Q4,H7,Hybrid CuO/MWCNT; cannot attribute % changes to MWCNT mass alone.
B01-S21,Characterization of nano based drilling fluid for shale swelling inhibition,2022,"Abbas, Muhammad Adeem; Zamir, Asif; Elraies, Khaled Abdalla; Mahmood, Syed Mohammad; Aslfattahi, Navid; Saidur, R.; Ahmad, Maqsood; Rasool, Muhammad Hammad",10.1080/10916466.2022.2048014,https://doi.org/10.1080/10916466.2022.2048014,Petroleum Science and Technology,journal-article,metadata_open; openalex_abstract,unknown_tandf,restricted,yes_crossref,abstract,include,,Q4,H7,0.1-1.1 wt% MWCNT; 57% swelling inhibition vs base; rheology 57% and filtration 55% relative claims without baseline values in abstract.
B01-S22,Stable pickering emulsions using multi-walled carbon nanotubes of varying wettability,2018,"Briggs, Nicholas; Raman, Ashwin Kumar Yegya; Barrett, Lawrence; Brown, Chase; Li, Brian; Leavitt, Devlin; Aichele, Clint P.; Crossley, Steven",10.1016/j.colsurfa.2017.10.010,https://doi.org/10.1016/j.colsurfa.2017.10.010,Colloids and Surfaces A: Physicochemical and Engineering Aspects,journal-article,metadata_open; abstract_not_returned,unknown_elsevier,restricted,yes_crossref,metadata_only,include,inaccessible_fulltext,seed,H6,Seed for nonlinear wettability/emulsion-type claim. No numbers extracted.
B01-S23,Improving the stability of multi-walled carbon nano-tubes in extremely environments: Applications as nano-plugging additives in drilling fluids,2020,"Ma, Lan; Luo, Pingya; He, Yi; Zhang, Liyun; Fan, Yi; Jiang, Zhenju",10.1016/j.jngse.2019.103082,https://doi.org/10.1016/j.jngse.2019.103082,Journal of Natural Gas Science and Engineering,journal-article,metadata_open,unknown_elsevier,restricted,yes_crossref,metadata_only,maybe,inaccessible_fulltext,Q4,H7,Title indicates plugging; no abstract text retrieved.
B01-S24,"A comprehensive empirical, analytical and tomographic investigation on rheology and formation damage behavior of a novel nano-modified invert emulsion drilling fluid",2019,"Hajiabadi, Seyed Hasan; Aghaei, Hamed; Kalateh-Aghamohammadi, Mina; Sanati, Ali; Kazemi-Beydokhti, Amin; Esmaeilzadeh, Feridun",10.1016/j.petrol.2019.106257,https://doi.org/10.1016/j.petrol.2019.106257,Journal of Petroleum Science and Engineering,journal-article,metadata_open,unknown_elsevier,restricted,yes_crossref,metadata_only,maybe,inaccessible_fulltext,Q4,H7,Formation-damage + tomography. CNT identity not confirmed from title alone.
B01-S25,Rheological investigation of smart polymer/carbon nanotube complex on properties of water-based drilling fluids,2018,"Kazemi-Beydokhti, Amin; Hajiabadi, Seyed Hasan",10.1016/j.colsurfa.2018.07.058,https://doi.org/10.1016/j.colsurfa.2018.07.058,Colloids and Surfaces A,journal-article,metadata_open,unknown_elsevier,restricted,yes_crossref,metadata_only,maybe,inaccessible_fulltext,Q4,H7,Polymer/CNT complex; wall type unspecified in title.
B01-S26,Rheology of a colloidal suspension of carbon nanotube particles in a water-based drilling fluid,2019,"Anoop, Kanjirakat; Sadr, Reza; Yrac, Rommel; Amani, Mahmood",10.1016/j.powtec.2018.10.016,https://doi.org/10.1016/j.powtec.2018.10.016,Powder Technology,journal-article,metadata_open,unknown_elsevier,restricted,yes_crossref,metadata_only,maybe,inaccessible_fulltext,Q4,H7,Rheology-focused; filtration/lubricity unknown from metadata.
B01-S27,Experimental evaluation of nanomaterials to improve drilling fluid properties of water-based muds HP/HT applications,2020,"Sajjadian, Majid; Sajjadian, Vali Ahmad; Rashidi, Alimorad",10.1016/j.petrol.2020.107006,https://doi.org/10.1016/j.petrol.2020.107006,Journal of Petroleum Science and Engineering,journal-article,metadata_open,unknown_elsevier,restricted,yes_crossref,metadata_only,maybe,insufficient_metadata,Q4,H7,Mixed nanomaterials; MWCNT-specific results not confirmed.
B01-S28,Application of Hydrothermal Synthesized Titanium Dioxide-Doped Multiwalled Carbon Nanotubes on Filtration Properties-Response Surface Methodology Study,2024,"Khan, Muhammad Arqam; Lalji, Shaine Mohammadali; Ali, Syed Imran; Li, Mei-Chun; Burney, Muneeb",10.1021/acsomega.4c04177,https://doi.org/10.1021/acsomega.4c04177,ACS Omega,journal-article,open_access_claimed,cc-by-nc-nd,restricted,yes_crossref,abstract,maybe,other,Q4,H7,MWCNT/TiO2 hybrid plus PAC. Concentrations 0.35 g and 3.5 g without denominator in abstract.
B01-S29,Multiwalled carbon nanotubes and graphene oxide as nano-additives in water-based drilling fluid for enhanced fluid-loss-control & gel strength,2019,"Mohideen, Abdul Azeem Mohamed; Saheed, Mohamed Shuaib Mohamed; Mohamed, Norani Muti",10.1063/1.5124631,https://doi.org/10.1063/1.5124631,AIP Conference Proceedings,proceedings-article,metadata_open; openalex_abstract,unknown_aip,restricted,yes_crossref,abstract,maybe,,Q4,H7,Abstract: MWCNT improved gel strength but not fluid loss (hydrophobic); GO improved fluid loss. Useful dissociation of endpoints.
B01-S30,Preference of multi-walled carbon nanotube (MWCNT) to single-walled carbon nanotube (SWCNT) and activated carbon for preparing silica nanohybrid pickering emulsion for chemical enhanced oil recovery (C-EOR),2017,"AfzaliTabar, M.; Alaei, M.; Ranjineh Khojasteh, R.; Motiee, F.; Rashidi, A.M.",10.1016/j.jssc.2016.10.017,https://doi.org/10.1016/j.jssc.2016.10.017,Journal of Solid State Chemistry,journal-article,metadata_open,unknown_elsevier,restricted,yes_crossref,metadata_only,maybe,wrong_application,seed,H8;H6,EOR Pickering hybrid; not drilling validation.
B01-S31,A state-of-the-art review of the application of nanotechnology in the oil and gas industry with a focus on drilling engineering,2020,"Ali, Jagar A.; Kalhury, Abdullah M.; Sabir, Ayub N.; Ahmed, Rawezh N.; Ali, Nali H.; Abdullah, Abdullah D.",10.1016/j.petrol.2020.107118,https://doi.org/10.1016/j.petrol.2020.107118,Journal of Petroleum Science and Engineering,review_article,metadata_open,unknown_elsevier,restricted,yes_crossref,metadata_only,exclude,review_for_discovery_only,Q4,H7,Review; not used for numbers.
B01-S32,Investigation of thermal conductivity of multi walled carbon nanotube dispersed in hydrogenated oil based drilling fluids,2016,"Chai, Yee Ho; Yusup, Suzana; Chok, Vui Soon; Arpin, Mohamad Taufiq; Irawan, Sonny",10.1016/j.applthermaleng.2016.07.017,https://doi.org/10.1016/j.applthermaleng.2016.07.017,Applied Thermal Engineering,journal-article,metadata_open,unknown_elsevier,restricted,yes_crossref,metadata_only,exclude,wrong_property,Q4,,Thermal conductivity of OBM nanofluid; not H7 endpoints.
B01-S33,Investigating the rheological properties of nanofluids of water/hybrid nanostructure of spherical silica/MWCNT,2014,"Baghbanzadeh, Mohammadali; Rashidi, Alimorad; Soleimanisalim, Amir Hassan; Rashtchian, Davood",10.1016/j.tca.2014.01.004,https://doi.org/10.1016/j.tca.2014.01.004,Thermochimica Acta,journal-article,metadata_open,unknown_elsevier,restricted,yes_crossref,metadata_only,exclude,wrong_application,Q4,,"Water nanofluid, not drilling mud formulation."
B01-S34,High performance nature of biodegradable polymeric nanocomposites for oil-well drilling fluids,2016,"Madkour, Tarek M.; Fadl, Samar; Dardir, M.M.; Mekewi, Mohamed A.",10.1016/j.ejpe.2015.09.004,https://doi.org/10.1016/j.ejpe.2015.09.004,Egyptian Journal of Petroleum,journal-article,open_access,cc-by-nc-nd,restricted,yes_crossref,abstract,exclude,wrong_application,Q4,,PLA/MWCNT nanocomposite as OBM viscosifier; not CNT dispersion-in-mud H7 test.
B01-S35,Comparative study of using Water-Based mud containing Multiwall Carbon Nanotubes versus Oil-Based mud in HPHT fields,2016,"Abduo, M.I.; Dahab, A.S.; Abuseda, Hesham; AbdulAziz, Abdulaziz M.; Elhossieny, M.S.",10.1016/j.ejpe.2015.10.008,https://doi.org/10.1016/j.ejpe.2015.10.008,Egyptian Journal of Petroleum,journal-article,open_access,cc-by-nc-nd,restricted,yes_crossref,abstract,exclude,insufficient_metadata,Q4,H7,Abstract lacks extractable MWCNT dose or endpoint values.
B01-S36,Multicomponent Solubility Parameters for Single-Walled Carbon Nanotube-Solvent Mixtures,2009,"Bergin, Shane D.; Sun, Zhenyu; Rickard, David; Streich, Philip V.; Hamilton, James P.; Coleman, Jonathan N.",10.1021/nn900493u,https://doi.org/10.1021/nn900493u,ACS Nano,journal-article,metadata_open; openalex_abstract,unknown_acs,restricted,yes_crossref,abstract,exclude,wrong_application,seed,H5;H8,"SWCNT-solvent Hansen parameters. Mechanism for H5/H8, not drilling H7."
B01-S37,Surface Modification of Carbon Nanotubes as a Key Factor on Rheological Characteristics of Water-Based Drilling Muds,2018,unknown_from_openalex_only,10.30492/ijcce.2018.28219,https://doi.org/10.30492/ijcce.2018.28219,Iranian Journal of Chemistry and Chemical Engineering (OpenAlex),journal-article,openalex_record; crossref_404,unknown,unknown,openalex_yes; crossref_404; publisher_fetch_truncated,abstract_openalex,maybe,insufficient_metadata,Q4,H6;H7,Author names not recovered from Crossref. Abstract: functionalization degree affects PV and yield stress; Herschel-Bulkley preferred over Bingham.
B01-S38,Experimental Investigation of MWCNTs Decorated with ZnO Nanoparticles as a Novel Additive in Conventional Water-based Drilling Mud,2021,"Ozkan, Abdullah; Asker, Nilay Hayriye; Ozkan, Vildan",10.1149/2162-8777/ac202b,https://doi.org/10.1149/2162-8777/ac202b,ECS Journal of Solid State Science and Technology,journal-article,metadata_open; openalex_abstract,unknown,restricted,yes_crossref,abstract,exclude,other,Q4,H7,ZnO/MWCNT hybrid; overlapping % filtration claim with B01-S20. Excluded from primary H7 MWCNT-only set; listed as hybrid confounder.
B01-S39,Analyzing Effects of Multi-Wall Carbon Nanotubes (MWCNT) & Polyethylene Glycol (PEG) on Performance of Water Base Mud (WBM) in Shale Formation,2018,"Tookalloo, Koorosh; Heidarian, Javad; Soleymani, Mohammad; Rashidi, Alimorad; Nazarisaram, Mahdi",10.2174/1874834101811010029,https://doi.org/10.2174/1874834101811010029,The Open Petroleum Engineering Journal,journal-article,open_access,cc-by,allowed,yes_crossref,abstract,include,,Q4,H7;H5,Abstract order of rheological performance: CNT; CNT+PEG; PEG. Qualitative; no numbers.
B01-S40,Enhancement of Drilling Fluid Properties Using Nanoparticles,2018,"Al-Mahdawi, Faleh H. M.; Saad, Karrar",10.31699/ijcpe.2018.2.4,https://doi.org/10.31699/ijcpe.2018.2.4,Iraqi Journal of Chemical and Petroleum Engineering,journal-article,open_access,cc-by-nc,restricted,yes_crossref,abstract,exclude,insufficient_metadata,Q4,H7,MWCNT vs SiO2 qualitative; no locatable numbers.
B01-S41,"Mitigating Paleocene age Ranikot shale formation swelling characteristics using carbon supported anatase-titanium dioxide (MWCNT/TiO2, GO/TiO2 and AC/TiO2) nanomaterial water-based mud-chemical and rock interaction study",2024,"Lalji, Shaine Mohammadali; Haneef, Javed; Hashmi, Saud",10.1007/s11696-024-03396-4,https://doi.org/10.1007/s11696-024-03396-4,Chemical Papers,journal-article,metadata_open,unknown_springer,restricted,yes_crossref,metadata_only,exclude,wrong_property,Q4,,Shale swelling hybrid nanomaterials; filtration/rheology/lubricity not in title.
B01-S42,Experimental and statistical analysis of MWCNT hybrid nanofluid-based multi-functional drilling fluid,2023,"Malika, Manjakuppam; Pargaonkar, Aaditi; Sonawane, Shriram S.",10.1007/s11696-023-02976-0,https://doi.org/10.1007/s11696-023-02976-0,Chemical Papers,journal-article,metadata_open,unknown_springer,restricted,yes_crossref,metadata_only,exclude,insufficient_metadata,Q4,H7,Hybrid nanofluid; composition unknown from metadata.
B01-S43,Experimental analysis of improving water-based drilling fluid properties by using nanoparticles and poly (AN-co-VP)/zeolite composite,2022,"Sajjadian, Majid; Sajjadian, Vali Ahmad; Motlagh, Ehsan Esmaeilpour",10.1016/j.upstre.2022.100066,https://doi.org/10.1016/j.upstre.2022.100066,Upstream Oil and Gas Technology,journal-article,metadata_open,unknown_elsevier,restricted,yes_crossref,metadata_only,exclude,wrong_application,verify_list,,Title indicates mixed nanoparticles plus polymer/zeolite; MWCNT not in title.
